|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.7000|MAP: 0.0504|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.0000|MAP: 0.0554|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.1000|MAP: 0.0566|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.2000|MAP: 0.0574|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.3000|MAP: 0.0578|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.4000|MAP: 0.0569|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.5000|MAP: 0.0550|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.6000|MAP: 0.0532|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.0000|MAP: 0.0570|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.1000|MAP: 0.0581|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.2000|MAP: 0.0587|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.3000|MAP: 0.0587|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.4000|MAP: 0.0573|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.5000|MAP: 0.0552|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.0000|MAP: 0.0578|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.1000|MAP: 0.0594|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.2000|MAP: 0.0593|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.3000|MAP: 0.0583|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.4000|MAP: 0.0565|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.0000|MAP: 0.0589|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.1000|MAP: 0.0594|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.2000|MAP: 0.0585|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.3000|MAP: 0.0574|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.0000|MAP: 0.0585|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.1000|MAP: 0.0584|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.2000|MAP: 0.0574|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.6000|e: 0.0000|MAP: 0.0570|
|a: 0.2000 |b: 0.0000 |c: 0.1000|d: 0.7000|e: 0.0000|MAP: 0.0556|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.0000|MAP: 0.0544|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.1000|MAP: 0.0549|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.2000|MAP: 0.0556|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.3000|MAP: 0.0560|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.4000|MAP: 0.0555|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.5000|MAP: 0.0531|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.6000|MAP: 0.0513|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.1000|e: 0.0000|MAP: 0.0570|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.1000|e: 0.1000|MAP: 0.0576|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.1000|e: 0.2000|MAP: 0.0582|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.1000|e: 0.3000|MAP: 0.0583|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.1000|e: 0.4000|MAP: 0.0565|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.1000|e: 0.5000|MAP: 0.0541|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.2000|e: 0.0000|MAP: 0.0580|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.2000|e: 0.1000|MAP: 0.0596|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.2000|e: 0.2000|MAP: 0.0596|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.2000|e: 0.3000|MAP: 0.0583|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.2000|e: 0.4000|MAP: 0.0565|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.3000|e: 0.0000|MAP: 0.0593|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.3000|e: 0.1000|MAP: 0.0600|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.3000|e: 0.2000|MAP: 0.0592|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.3000|e: 0.3000|MAP: 0.0579|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.4000|e: 0.0000|MAP: 0.0598|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.4000|e: 0.1000|MAP: 0.0593|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.4000|e: 0.2000|MAP: 0.0582|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.5000|e: 0.0000|MAP: 0.0582|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.5000|e: 0.1000|MAP: 0.0584|
|a: 0.2000 |b: 0.0000 |c: 0.2000|d: 0.6000|e: 0.0000|MAP: 0.0565|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.0000|e: 0.0000|MAP: 0.0556|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.0000|e: 0.1000|MAP: 0.0564|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.0000|e: 0.2000|MAP: 0.0569|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.0000|e: 0.3000|MAP: 0.0569|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.0000|e: 0.4000|MAP: 0.0551|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.0000|e: 0.5000|MAP: 0.0530|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.1000|e: 0.0000|MAP: 0.0577|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.1000|e: 0.1000|MAP: 0.0590|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.1000|e: 0.2000|MAP: 0.0591|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.1000|e: 0.3000|MAP: 0.0573|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.1000|e: 0.4000|MAP: 0.0554|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.2000|e: 0.0000|MAP: 0.0600|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.2000|e: 0.1000|MAP: 0.0604|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.2000|e: 0.2000|MAP: 0.0597|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.2000|e: 0.3000|MAP: 0.0577|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.3000|e: 0.0000|MAP: 0.0605|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.3000|e: 0.1000|MAP: 0.0601|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.3000|e: 0.2000|MAP: 0.0585|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.4000|e: 0.0000|MAP: 0.0599|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.4000|e: 0.1000|MAP: 0.0588|
|a: 0.2000 |b: 0.0000 |c: 0.3000|d: 0.5000|e: 0.0000|MAP: 0.0580|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.0000|e: 0.0000|MAP: 0.0566|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.0000|e: 0.1000|MAP: 0.0580|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.0000|e: 0.2000|MAP: 0.0580|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.0000|e: 0.3000|MAP: 0.0567|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.0000|e: 0.4000|MAP: 0.0541|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.1000|e: 0.0000|MAP: 0.0593|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.1000|e: 0.1000|MAP: 0.0598|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.1000|e: 0.2000|MAP: 0.0594|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.1000|e: 0.3000|MAP: 0.0568|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.2000|e: 0.0000|MAP: 0.0606|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.2000|e: 0.1000|MAP: 0.0606|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.2000|e: 0.2000|MAP: 0.0586|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.3000|e: 0.0000|MAP: 0.0611|
|a: 0.2000 |b: 0.0000 |c: 0.4000|d: 0.4000|e: 0.0000|MAP: 0.0589|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.0000|e: 0.0000|MAP: 0.0581|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.0000|e: 0.1000|MAP: 0.0593|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.0000|e: 0.2000|MAP: 0.0581|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.0000|e: 0.3000|MAP: 0.0558|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.1000|e: 0.0000|MAP: 0.0600|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.1000|e: 0.1000|MAP: 0.0598|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.1000|e: 0.2000|MAP: 0.0576|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.2000|e: 0.0000|MAP: 0.0614|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.2000|e: 0.1000|MAP: 0.0598|
|a: 0.2000 |b: 0.0000 |c: 0.5000|d: 0.3000|e: 0.0000|MAP: 0.0595|
|a: 0.2000 |b: 0.0000 |c: 0.6000|d: 0.0000|e: 0.0000|MAP: 0.0587|
|a: 0.2000 |b: 0.0000 |c: 0.6000|d: 0.0000|e: 0.1000|MAP: 0.0588|
|a: 0.2000 |b: 0.0000 |c: 0.6000|d: 0.0000|e: 0.2000|MAP: 0.0566|
|a: 0.2000 |b: 0.0000 |c: 0.6000|d: 0.1000|e: 0.0000|MAP: 0.0604|
|a: 0.2000 |b: 0.0000 |c: 0.6000|d: 0.1000|e: 0.1000|MAP: 0.0592|
|a: 0.2000 |b: 0.0000 |c: 0.6000|d: 0.2000|e: 0.0000|MAP: 0.0601|
|a: 0.2000 |b: 0.0000 |c: 0.7000|d: 0.0000|e: 0.0000|MAP: 0.0587|
|a: 0.2000 |b: 0.0000 |c: 0.8000|d: 0.0000|e: 0.0000|MAP: 0.0574|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.0000|MAP: 0.0562|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.1000|MAP: 0.0576|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.2000|MAP: 0.0578|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.3000|MAP: 0.0584|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.4000|MAP: 0.0587|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.5000|MAP: 0.0567|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.6000|MAP: 0.0549|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.0000|e: 0.7000|MAP: 0.0536|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.1000|e: 0.0000|MAP: 0.0581|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.1000|e: 0.1000|MAP: 0.0589|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.1000|e: 0.2000|MAP: 0.0596|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.1000|e: 0.3000|MAP: 0.0597|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.1000|e: 0.4000|MAP: 0.0590|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.1000|e: 0.5000|MAP: 0.0570|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.1000|e: 0.6000|MAP: 0.0557|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.2000|e: 0.0000|MAP: 0.0588|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.2000|e: 0.1000|MAP: 0.0601|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.2000|e: 0.2000|MAP: 0.0609|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.2000|e: 0.3000|MAP: 0.0607|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.2000|e: 0.4000|MAP: 0.0588|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.2000|e: 0.5000|MAP: 0.0572|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.3000|e: 0.0000|MAP: 0.0593|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.3000|e: 0.1000|MAP: 0.0611|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.3000|e: 0.2000|MAP: 0.0611|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.3000|e: 0.3000|MAP: 0.0601|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.3000|e: 0.4000|MAP: 0.0582|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.4000|e: 0.0000|MAP: 0.0599|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.4000|e: 0.1000|MAP: 0.0608|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.4000|e: 0.2000|MAP: 0.0603|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.4000|e: 0.3000|MAP: 0.0586|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.5000|e: 0.0000|MAP: 0.0599|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.5000|e: 0.1000|MAP: 0.0596|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.5000|e: 0.2000|MAP: 0.0585|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.6000|e: 0.0000|MAP: 0.0582|
|a: 0.2000 |b: 0.1000 |c: 0.0000|d: 0.7000|e: 0.0000|MAP: 0.0563|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.0000|e: 0.0000|MAP: 0.0578|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.0000|e: 0.1000|MAP: 0.0586|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.0000|e: 0.2000|MAP: 0.0595|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.0000|e: 0.3000|MAP: 0.0593|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.0000|e: 0.4000|MAP: 0.0586|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.0000|e: 0.5000|MAP: 0.0562|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.0000|e: 0.6000|MAP: 0.0546|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.1000|e: 0.0000|MAP: 0.0595|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.1000|e: 0.1000|MAP: 0.0601|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.1000|e: 0.2000|MAP: 0.0612|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.1000|e: 0.3000|MAP: 0.0605|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.1000|e: 0.4000|MAP: 0.0589|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.1000|e: 0.5000|MAP: 0.0571|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.2000|e: 0.0000|MAP: 0.0602|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.2000|e: 0.1000|MAP: 0.0621|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.2000|e: 0.2000|MAP: 0.0618|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.2000|e: 0.3000|MAP: 0.0606|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.2000|e: 0.4000|MAP: 0.0586|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.3000|e: 0.0000|MAP: 0.0610|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.3000|e: 0.1000|MAP: 0.0619|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.3000|e: 0.2000|MAP: 0.0611|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.3000|e: 0.3000|MAP: 0.0590|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.4000|e: 0.0000|MAP: 0.0613|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.4000|e: 0.1000|MAP: 0.0611|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.4000|e: 0.2000|MAP: 0.0594|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.5000|e: 0.0000|MAP: 0.0595|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.5000|e: 0.1000|MAP: 0.0590|
|a: 0.2000 |b: 0.1000 |c: 0.1000|d: 0.6000|e: 0.0000|MAP: 0.0579|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.0000|e: 0.0000|MAP: 0.0591|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.0000|e: 0.1000|MAP: 0.0601|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.0000|e: 0.2000|MAP: 0.0603|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.0000|e: 0.3000|MAP: 0.0601|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.0000|e: 0.4000|MAP: 0.0581|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.0000|e: 0.5000|MAP: 0.0562|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.1000|e: 0.0000|MAP: 0.0605|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.1000|e: 0.1000|MAP: 0.0617|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.1000|e: 0.2000|MAP: 0.0616|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.1000|e: 0.3000|MAP: 0.0605|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.1000|e: 0.4000|MAP: 0.0585|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.2000|e: 0.0000|MAP: 0.0622|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.2000|e: 0.1000|MAP: 0.0626|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.2000|e: 0.2000|MAP: 0.0617|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.2000|e: 0.3000|MAP: 0.0599|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.3000|e: 0.0000|MAP: 0.0623|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.3000|e: 0.1000|MAP: 0.0623|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.3000|e: 0.2000|MAP: 0.0604|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.4000|e: 0.0000|MAP: 0.0615|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.4000|e: 0.1000|MAP: 0.0603|
|a: 0.2000 |b: 0.1000 |c: 0.2000|d: 0.5000|e: 0.0000|MAP: 0.0591|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.0000|e: 0.0000|MAP: 0.0603|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.0000|e: 0.1000|MAP: 0.0615|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.0000|e: 0.2000|MAP: 0.0616|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.0000|e: 0.3000|MAP: 0.0604|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.0000|e: 0.4000|MAP: 0.0578|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.1000|e: 0.0000|MAP: 0.0620|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.1000|e: 0.1000|MAP: 0.0627|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.1000|e: 0.2000|MAP: 0.0621|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.1000|e: 0.3000|MAP: 0.0599|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.2000|e: 0.0000|MAP: 0.0631|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.2000|e: 0.1000|MAP: 0.0627|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.2000|e: 0.2000|MAP: 0.0607|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.3000|e: 0.0000|MAP: 0.0630|
|a: 0.2000 |b: 0.1000 |c: 0.3000|d: 0.4000|e: 0.0000|MAP: 0.0612|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.0000|e: 0.0000|MAP: 0.0617|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.0000|e: 0.1000|MAP: 0.0624|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.0000|e: 0.2000|MAP: 0.0617|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.0000|e: 0.3000|MAP: 0.0595|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.1000|e: 0.0000|MAP: 0.0634|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.1000|e: 0.1000|MAP: 0.0632|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.1000|e: 0.2000|MAP: 0.0608|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.2000|e: 0.0000|MAP: 0.0636|
|a: 0.2000 |b: 0.1000 |c: 0.4000|d: 0.3000|e: 0.0000|MAP: 0.0623|
|a: 0.2000 |b: 0.1000 |c: 0.5000|d: 0.0000|e: 0.0000|MAP: 0.0623|
|a: 0.2000 |b: 0.1000 |c: 0.5000|d: 0.0000|e: 0.1000|MAP: 0.0621|
|a: 0.2000 |b: 0.1000 |c: 0.5000|d: 0.0000|e: 0.2000|MAP: 0.0605|
|a: 0.2000 |b: 0.1000 |c: 0.5000|d: 0.1000|e: 0.0000|MAP: 0.0639|
|a: 0.2000 |b: 0.1000 |c: 0.5000|d: 0.1000|e: 0.1000|MAP: 0.0624|
|a: 0.2000 |b: 0.1000 |c: 0.5000|d: 0.2000|e: 0.0000|MAP: 0.0629|
|a: 0.2000 |b: 0.1000 |c: 0.6000|d: 0.0000|e: 0.0000|MAP: 0.0627|
|a: 0.2000 |b: 0.1000 |c: 0.7000|d: 0.0000|e: 0.0000|MAP: 0.0616|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.0000|e: 0.0000|MAP: 0.0586|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.0000|e: 0.1000|MAP: 0.0595|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.0000|e: 0.2000|MAP: 0.0604|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.0000|e: 0.3000|MAP: 0.0602|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.0000|e: 0.4000|MAP: 0.0600|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.0000|e: 0.5000|MAP: 0.0573|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.0000|e: 0.6000|MAP: 0.0555|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.1000|e: 0.0000|MAP: 0.0602|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.1000|e: 0.1000|MAP: 0.0615|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.1000|e: 0.2000|MAP: 0.0623|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.1000|e: 0.3000|MAP: 0.0613|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.1000|e: 0.4000|MAP: 0.0598|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.1000|e: 0.5000|MAP: 0.0581|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.2000|e: 0.0000|MAP: 0.0620|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.2000|e: 0.1000|MAP: 0.0634|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.2000|e: 0.2000|MAP: 0.0633|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.2000|e: 0.3000|MAP: 0.0622|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.2000|e: 0.4000|MAP: 0.0603|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.3000|e: 0.0000|MAP: 0.0619|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.3000|e: 0.1000|MAP: 0.0629|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.3000|e: 0.2000|MAP: 0.0622|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.3000|e: 0.3000|MAP: 0.0606|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.4000|e: 0.0000|MAP: 0.0619|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.4000|e: 0.1000|MAP: 0.0617|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.4000|e: 0.2000|MAP: 0.0611|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.5000|e: 0.0000|MAP: 0.0606|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.5000|e: 0.1000|MAP: 0.0599|
|a: 0.2000 |b: 0.2000 |c: 0.0000|d: 0.6000|e: 0.0000|MAP: 0.0583|
|a: 0.2000 |b: 0.2000 |c: 0.1000|d: 0.0000|e: 0.0000|MAP: 0.0604|
|a: 0.2000 |b: 0.2000 |c: 0.1000|d: 0.0000|e: 0.1000|MAP: 0.0607|
|a: 0.2000 |b: 0.2000 |c: 0.1000|d: 0.0000|e: 0.2000|MAP: 0.0616|
|a: 0.2000 |b: 0.2000 |c: 0.1000|d: 0.0000|e: 0.3000|MAP: 0.0615|
|a: 0.2000 |b: 0.2000 |c: 0.1000|d: 0.0000|e: 0.4000|MAP: 0.0600|
|a: 0.2000 |b: 0.2000 |c: 0.1000|d: 0.0000|e: 0.5000|MAP: 0.0574|
|a: 0.2000 |b: 0.2000 |c: 0.1000|d: 0.1000|e: 0.0000|MAP: 0.0619|
